"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.264375000E-2,2.338586884E0,3.497027893E0,9.157955933E0,1.007801318E1
2.269074999E-2,2.330803070E0,3.309467926E0,9.555529175E0,1.037754107E1
3.273774998E-2,2.406545563E0,3.285368042E0,9.753267975E0,1.056935859E1
4.278475000E-2,2.489473114E0,3.450624390E0,9.717043304E0,1.060779033E1
5.283174998E-2,2.487377472E0,3.578159180E0,9.403595123E0,1.036425931E1
6.287874997E-2,2.388732605E0,3.618425446E0,8.991053009E0,9.981887616E0
7.292474998E-2,2.247875519E0,3.676953735E0,8.492888947E0,9.523764790E0
8.297175000E-2,2.181264038E0,3.744313660E0,8.257428589E0,9.325391385E0
9.301874999E-2,2.138453064E0,3.751498718E0,8.322992249E0,9.376509164E0
1.030657500E-1,2.121687927E0,3.681145020E0,8.460256805E0,9.467224172E0
1.131127500E-1,2.071691895E0,3.582649841E0,8.422235870E0,9.384100609E0
1.231597500E-1,2.046544189E0,3.646417236E0,8.343349915E0,9.332533931E0
1.332067500E-1,2.106569366E0,3.765719147E0,8.408913574E0,9.451354542E0
1.432537500E-1,2.287393341E0,3.786226501E0,8.375982056E0,9.472315177E0
1.533007500E-1,2.242935791E0,3.830983429E0,8.305029602E0,9.417043681E0
1.633477500E-1,2.218087463E0,3.823049927E0,8.287066956E0,9.392076526E0
1.733947500E-1,2.179767151E0,3.796854401E0,8.423882446E0,9.493644381E0
1.834429583E-1,2.036215668E0,3.726800079E0,8.559949493E0,9.555519264E0
1.934899583E-1,2.038610687E0,3.699706421E0,8.644523621E0,9.621411007E0
2.035369583E-1,2.019001465E0,3.735781403E0,8.715326385E0,9.694810138E0
2.135839583E-1,2.078427887E0,3.744014282E0,8.872948608E0,9.852244538E0
2.236309583E-1,2.169738007E0,3.708238678E0,9.072932739E0,1.003877012E1
2.336769583E-1,2.263742523E0,3.721560974E0,9.126371613E0,1.011262602E1
2.437239583E-1,2.208956451E0,3.691922607E0,9.002878418E0,9.978055971E0
2.537709583E-1,2.171534271E0,3.734434204E0,8.866661682E0,9.863024349E0
2.638179583E-1,2.227667542E0,3.794010315E0,8.639434204E0,9.695196765E0
2.738649583E-1,2.258353729E0,3.881278839E0,8.378227386E0,9.505744639E0
2.839119583E-1,2.317630463E0,3.967649231E0,8.246651001E0,9.440386862E0
2.939589583E-1,2.365530853E0,4.024231567E0,8.329728241E0,9.548536458E0
3.040059583E-1,2.474653931E0,3.931723938E0,8.472531281E0,9.662616183E0
3.140529583E-1,2.658771057E0,3.776496735E0,8.531209259E0,9.701160886E0
3.240999583E-1,3.374582520E0,3.754642181E0,8.616531830E0,9.986479153E0
3.341469583E-1,4.745731201E0,3.775149536E0,8.883277130E0,1.075575805E1
3.441939583E-1,5.301375732E0,3.977378998E0,9.231303406E0,1.136402618E1
3.542409583E-1,5.962850189E0,5.301974487E0,9.092691650E0,1.209725412E1
3.642879583E-1,7.066804504E0,7.402107239E0,9.007967834E0,1.363357627E1
3.743349583E-1,8.948840790E0,9.560768280E0,9.592202911E0,1.623269535E1
3.843819583E-1,1.124506577E1,1.132245483E1,1.078612015E1,1.926109746E1
3.944279583E-1,1.376657227E1,1.238958572E1,1.340716965E1,2.286421974E1
4.044749583E-1,1.558094925E1,1.203617065E1,1.578317871E1,2.523378913E1
4.145219583E-1,1.600157455E1,1.225845840E1,1.718680984E1,2.648974563E1
4.245689583E-1,1.635588776E1,1.335028793E1,1.843401627E1,2.802781133E1
4.346159583E-1,1.758587997E1,1.381417328E1,2.009301636E1,3.006366352E1
4.446629583E-1,1.913411041E1,1.366149078E1,2.183419556E1,3.208555138E1
4.547099583E-1,2.009810577E1,1.367765717E1,2.361534164E1,3.389242574E1
4.647569583E-1,1.952854019E1,1.207763443E1,2.398851562E1,3.320665622E1
4.748039583E-1,1.761237488E1,9.545050964E0,2.289354263E1,3.042068443E1
4.848509583E-1,1.429347656E1,6.387966156E0,2.015139496E1,2.551839146E1
4.948979583E-1,1.035426819E1,3.104394379E0,1.634121826E1,1.959294640E1
5.049449583E-1,6.512507172E0,-4.324507141E-1,1.213631241E1,1.378005233E1
5.149919583E-1,3.072360992E0,-4.090393982E0,8.672066345E0,1.006853811E1
5.250389583E-1,-6.168672180E-1,-8.168812866E0,7.234455872E0,1.092919853E1
5.350859583E-1,-4.103716278E0,-1.184367096E1,5.972729645E0,1.388475886E1
5.451329583E-1,-8.252039795E0,-1.667547318E1,3.765270081E0,1.898275073E1
5.551789583E-1,-1.573408081E1,-2.302556808E1,-6.270460510E-1,2.789500442E1
5.652259583E-1,-2.663546127E1,-2.914050201E1,-6.830745392E0,4.006589245E1
5.752729583E-1,-3.846401367E1,-3.531935303E1,-1.312680267E1,5.384468399E1
5.853199583E-1,-4.563485184E1,-3.847089935E1,-1.444526093E1,6.141022197E1
5.953669583E-1,-4.369503571E1,-3.982842636E1,-8.973539429E0,5.980036874E1
6.054139583E-1,-3.430970261E1,-4.001104660E1,-2.086660767E0,5.274839994E1
6.154609583E-1,-1.946761688E1,-3.565360794E1,3.213517456E0,4.074916638E1
6.255079583E-1,-4.667593689E0,-2.901446411E1,6.235133972E0,3.004167862E1
6.355549583E-1,3.745511169E0,-2.278456924E1,7.457192688E0,2.426468983E1
6.456019583E-1,9.311835938E0,-1.776745239E1,9.927805023E0,2.238200093E1
6.556489583E-1,1.689940750E1,-1.093236603E1,1.271979904E1,2.380965956E1
6.656959583E-1,2.821168350E1,-4.305047607E-1,1.407103912E1,3.152901144E1
6.757429583E-1,4.190625549E1,1.273357040E1,1.660272446E1,4.683939073E1
6.857899583E-1,5.424599487E1,2.678380280E1,1.996533188E1,6.370725649E1
6.958359583E-1,6.216437851E1,3.881353683E1,2.363285522E1,7.700267816E1
7.058829583E-1,6.290204453E1,4.475019150E1,2.406994629E1,8.086166681E1
7.159299583E-1,5.834222672E1,4.565715546E1,2.136387360E1,7.710257037E1
7.259769583E-1,5.349066559E1,4.162334381E1,1.676169388E1,6.981911226E1
7.360239583E-1,4.772555420E1,3.565465576E1,1.207104813E1,6.078398806E1
7.460709583E-1,4.059543137E1,2.813908447E1,6.597829742E0,4.983300593E1
7.561179583E-1,3.298375992E1,1.954261093E1,2.158661041E0,3.839924319E1
7.661649583E-1,2.571337875E1,1.088461533E1,1.796264648E-3,2.792226174E1
7.762119583E-1,1.867456604E1,2.512974243E0,-4.349954224E-1,1.884790910E1
7.862589583E-1,1.237791000E1,-5.317542114E0,7.373666382E-1,1.349194648E1
7.963059583E-1,7.526648254E0,-1.185504730E1,2.849175110E0,1.432865588E1
8.063529583E-1,2.638563080E0,-1.810125824E1,2.642904053E0,1.848249190E1
8.163999583E-1,-6.553970947E0,-2.547297867E1,-2.058219910E-1,2.630341309E1
8.264469583E-1,-2.167028641E1,-3.272928909E1,-4.997357941E0,3.956995405E1
